Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
electricity (BTU),1.7818E+14,1.78442E+14,1.79043E+14,1.79714E+14,1.8109E+14,1.82367E+14,1.85637E+14,1.90736E+14,1.92463E+14,1.94357E+14,1.95989E+14,1.97769E+14,1.99028E+14,2.00113E+14,2.01763E+14,2.02707E+14,2.02287E+14,2.02101E+14,2.02916E+14,2.03812E+14,2.04843E+14,2.05826E+14,2.07298E+14,2.09097E+14,2.1038E+14,2.1151E+14,2.12268E+14,2.12949E+14,2.14874E+14,2.16176E+14,2.16836E+14,2.177E+14,2.19001E+14,,,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
natural gas (BTU),4.94868E+12,5.06286E+12,5.09836E+12,5.16162E+12,5.07937E+12,4.67463E+12,3.91535E+12,3.32619E+12,3.35999E+12,3.42031E+12,3.54253E+12,3.62022E+12,3.69906E+12,3.79758E+12,3.83385E+12,3.87634E+12,3.91507E+12,4.00075E+12,4.04638E+12,4.10686E+12,4.20392E+12,4.3152E+12,4.43508E+12,4.5865E+12,4.78184E+12,4.95237E+12,5.16456E+12,5.38599E+12,5.47416E+12,5.57587E+12,5.72351E+12,5.87857E+12,6.03138E+12,,,
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
