Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
electricity (BTU),3.83572E+14,3.73181E+14,3.68636E+14,3.65625E+14,3.63501E+14,3.59495E+14,3.61384E+14,3.63711E+14,3.66578E+14,3.70917E+14,3.74533E+14,3.78699E+14,3.80695E+14,3.83781E+14,3.85038E+14,3.84014E+14,3.81207E+14,3.79546E+14,3.7729E+14,3.77781E+14,3.77245E+14,3.76714E+14,3.77347E+14,3.791E+14,3.79856E+14,3.80448E+14,3.80815E+14,3.82784E+14,3.83993E+14,3.85409E+14,3.8759E+14,3.89799E+14,3.91681E+14,,,
coal (BTU),2.13283E+14,2.15533E+14,2.10227E+14,2.04867E+14,1.95101E+14,1.89263E+14,1.78968E+14,1.70805E+14,1.54877E+14,1.45185E+14,1.41644E+14,1.39998E+14,1.3699E+14,1.36468E+14,1.29513E+14,1.19938E+14,1.09855E+14,1.00029E+14,9.02827E+13,8.13095E+13,7.38949E+13,6.63817E+13,5.8818E+13,5.19087E+13,4.53388E+13,3.96537E+13,3.34793E+13,2.88885E+13,2.46284E+13,2.08547E+13,1.8752E+13,1.58156E+13,1.29809E+13,,,
natural gas (BTU),1.94012E+15,1.89691E+15,1.87551E+15,1.88529E+15,1.89285E+15,1.92424E+15,1.91839E+15,1.92575E+15,1.9601E+15,2.01125E+15,2.02056E+15,2.07816E+15,2.13121E+15,2.15378E+15,2.16075E+15,2.17445E+15,2.18713E+15,2.19786E+15,2.20613E+15,2.21253E+15,2.21961E+15,2.2237E+15,2.22984E+15,2.23431E+15,2.2378E+15,2.23936E+15,2.23975E+15,2.2387E+15,2.23635E+15,2.23375E+15,2.23058E+15,2.22616E+15,2.22105E+15,,,
petroleum diesel (BTU),6.53359E+14,6.35663E+14,6.25356E+14,6.14289E+14,6.05576E+14,6.14465E+14,6.01464E+14,5.89453E+14,5.83276E+14,5.67728E+14,5.64254E+14,5.51802E+14,5.2612E+14,5.20946E+14,5.13736E+14,5.03988E+14,4.94124E+14,4.84481E+14,4.75434E+14,4.67119E+14,4.58869E+14,4.50456E+14,4.41839E+14,4.35227E+14,4.28316E+14,4.22663E+14,4.14608E+14,4.08387E+14,4.02112E+14,3.95232E+14,3.9105E+14,3.84653E+14,3.77616E+14,,,
heat (BTU),5.31926E+14,5.35178E+14,5.33709E+14,5.40958E+14,5.50022E+14,5.41566E+14,5.51502E+14,5.553E+14,5.52194E+14,5.50689E+14,5.62283E+14,5.47362E+14,5.47101E+14,5.51023E+14,5.54525E+14,5.56034E+14,5.56782E+14,5.57882E+14,5.58716E+14,5.60272E+14,5.6059E+14,5.60377E+14,5.61325E+14,5.63011E+14,5.63465E+14,5.62764E+14,5.61898E+14,5.61103E+14,5.60002E+14,5.59865E+14,5.59603E+14,5.59185E+14,5.57645E+14,,,
biomass (BTU),1.07943E+15,1.07906E+15,1.0969E+15,1.10842E+15,1.10503E+15,1.06325E+15,1.07354E+15,1.07865E+15,1.07877E+15,1.0696E+15,1.0804E+15,1.07727E+15,1.07864E+15,1.09548E+15,1.09747E+15,1.10101E+15,1.10282E+15,1.102E+15,1.09942E+15,1.09578E+15,1.0923E+15,1.08737E+15,1.08156E+15,1.07527E+15,1.06835E+15,1.06128E+15,1.05333E+15,1.04597E+15,1.03807E+15,1.03003E+15,1.02464E+15,1.01571E+15,1.00564E+15,,,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
LPG propane or butane (BTU),2.8436E+13,2.86338E+13,2.80652E+13,2.80799E+13,2.65216E+13,2.49272E+13,2.41218E+13,2.38058E+13,2.40134E+13,2.33358E+13,2.41762E+13,2.40414E+13,2.43096E+13,2.52915E+13,2.53111E+13,2.53149E+13,2.52799E+13,2.51968E+13,2.51256E+13,2.50372E+13,2.49377E+13,2.48235E+13,2.46996E+13,2.46579E+13,2.45887E+13,2.45155E+13,2.43947E+13,2.43145E+13,2.42207E+13,2.41425E+13,2.40961E+13,2.3993E+13,2.38501E+13,,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
