BTU/yr,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,2.55E+13,2.56E+13,2.58E+13,2.56E+13,2.56E+13,2.52E+13,2.52E+13,2.51E+13,2.50E+13,2.46E+13,2.44E+13,2.43E+13,2.41E+13,2.39E+13,2.40E+13,2.41E+13,2.42E+13,2.42E+13,2.42E+13,2.40E+13,2.41E+13,2.41E+13,2.42E+13,2.42E+13,2.43E+13,2.45E+13,2.47E+13,2.48E+13,2.49E+13,2.51E+13,2.52E+13
coal mining 05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
oil and gas extraction 06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
other mining and quarrying 07T08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
food beverage and tobacco 10T12,2.12E+13,2.13E+13,2.10E+13,2.02E+13,1.98E+13,1.91E+13,1.78E+13,1.74E+13,1.63E+13,1.50E+13,1.45E+13,1.35E+13,1.22E+13,1.10E+13,9.64E+12,8.58E+12,8.21E+12,7.38E+12,6.73E+12,6.28E+12,5.86E+12,5.72E+12,5.36E+12,4.91E+12,4.65E+12,4.26E+12,3.73E+12,3.46E+12,3.12E+12,2.73E+12,2.53E+12
textiles apparel and leather 13T15,2.23E+12,2.22E+12,2.07E+12,2.04E+12,2.03E+12,2.02E+12,1.84E+12,1.80E+12,1.73E+12,1.71E+12,1.67E+12,1.48E+12,1.30E+12,1.11E+12,1.07E+12,8.20E+11,7.96E+11,6.63E+11,6.21E+11,6.00E+11,5.80E+11,5.76E+11,4.83E+11,4.61E+11,4.58E+11,4.55E+11,3.85E+11,3.64E+11,3.41E+11,3.35E+11,3.19E+11
wood products 16,1.00E+12,9.26E+11,9.24E+11,9.06E+11,8.35E+11,7.95E+11,7.43E+11,6.36E+11,6.04E+11,5.73E+11,5.64E+11,5.48E+11,5.43E+11,5.26E+11,5.11E+11,4.66E+11,4.52E+11,4.19E+11,4.14E+11,4.10E+11,4.08E+11,3.13E+11,3.02E+11,2.84E+11,2.36E+11,2.14E+11,1.89E+11,1.40E+11,1.27E+11,1.13E+11,1.07E+11
pulp paper and printing 17T18,1.48E+13,1.46E+13,1.41E+13,1.37E+13,1.33E+13,1.29E+13,1.26E+13,1.22E+13,1.19E+13,1.14E+13,1.10E+13,1.04E+13,1.00E+13,9.25E+12,7.83E+12,7.28E+12,6.91E+12,5.61E+12,5.50E+12,5.31E+12,4.73E+12,4.17E+12,3.78E+12,3.58E+12,3.35E+12,2.77E+12,2.76E+12,2.60E+12,2.40E+12,2.17E+12,1.93E+12
refined petroleum and coke 19,1.28E+14,1.26E+14,1.24E+14,1.21E+14,1.18E+14,1.16E+14,1.14E+14,1.11E+14,1.09E+14,1.08E+14,1.06E+14,1.01E+14,9.97E+13,9.70E+13,9.48E+13,9.24E+13,9.08E+13,8.86E+13,8.54E+13,8.23E+13,8.05E+13,7.81E+13,7.52E+13,7.13E+13,6.92E+13,6.74E+13,6.51E+13,6.25E+13,6.10E+13,5.92E+13,5.70E+13
chemicals 20,1.33E+14,1.31E+14,1.27E+14,1.19E+14,1.17E+14,1.12E+14,1.05E+14,9.26E+13,8.86E+13,8.84E+13,7.64E+13,7.56E+13,6.74E+13,6.15E+13,5.69E+13,5.13E+13,5.10E+13,4.68E+13,4.35E+13,4.07E+13,3.83E+13,3.52E+13,3.20E+13,2.78E+13,2.64E+13,2.36E+13,2.06E+13,1.56E+13,1.38E+13,1.34E+13,1.03E+13
rubber and plastic products 22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
