BTU/yr,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,5.29E+14,5.31E+14,5.34E+14,5.35E+14,5.31E+14,5.26E+14,5.09E+14,4.92E+14,4.74E+14,4.57E+14,4.40E+14,4.18E+14,3.95E+14,3.72E+14,3.50E+14,3.27E+14,3.04E+14,2.82E+14,2.59E+14,2.36E+14,2.14E+14,2.01E+14,1.88E+14,1.76E+14,1.63E+14,1.50E+14,1.38E+14,1.25E+14,1.13E+14,1.00E+14,8.74E+13
coal mining 05,3.98E+12,3.91E+12,3.85E+12,3.77E+12,3.72E+12,3.67E+12,3.52E+12,3.36E+12,3.21E+12,3.05E+12,2.90E+12,2.76E+12,2.61E+12,2.47E+12,2.33E+12,2.19E+12,2.04E+12,1.90E+12,1.76E+12,1.61E+12,1.47E+12,1.38E+12,1.29E+12,1.19E+12,1.10E+12,1.01E+12,9.14E+11,8.21E+11,7.28E+11,6.35E+11,5.43E+11
oil and gas extraction 06,7.30E+11,7.16E+11,7.06E+11,6.91E+11,6.81E+11,6.73E+11,6.45E+11,6.16E+11,5.88E+11,5.60E+11,5.31E+11,5.05E+11,4.79E+11,4.53E+11,4.26E+11,4.00E+11,3.74E+11,3.48E+11,3.22E+11,2.96E+11,2.70E+11,2.53E+11,2.35E+11,2.18E+11,2.01E+11,1.84E+11,1.67E+11,1.50E+11,1.33E+11,1.16E+11,9.94E+10
other mining and quarrying 07T08,5.61E+14,5.66E+14,5.72E+14,5.75E+14,5.79E+14,5.83E+14,5.68E+14,5.54E+14,5.39E+14,5.25E+14,5.10E+14,4.90E+14,4.69E+14,4.48E+14,4.28E+14,4.07E+14,3.86E+14,3.66E+14,3.45E+14,3.25E+14,3.04E+14,2.88E+14,2.71E+14,2.55E+14,2.39E+14,2.22E+14,2.06E+14,1.90E+14,1.73E+14,1.57E+14,1.41E+14
food beverage and tobacco 10T12,3.00E+13,3.01E+13,2.97E+13,2.92E+13,2.87E+13,2.80E+13,2.69E+13,2.57E+13,2.46E+13,2.34E+13,2.23E+13,2.10E+13,1.97E+13,1.84E+13,1.71E+13,1.58E+13,1.45E+13,1.32E+13,1.19E+13,1.05E+13,9.24E+12,8.64E+12,8.04E+12,7.43E+12,6.83E+12,6.23E+12,5.62E+12,5.02E+12,4.42E+12,3.81E+12,3.21E+12
textiles apparel and leather 13T15,3.41E+12,3.35E+12,3.22E+12,3.14E+12,3.09E+12,2.99E+12,2.88E+12,2.76E+12,2.65E+12,2.53E+12,2.42E+12,2.27E+12,2.13E+12,1.98E+12,1.84E+12,1.69E+12,1.55E+12,1.40E+12,1.26E+12,1.11E+12,9.66E+11,9.04E+11,8.43E+11,7.81E+11,7.19E+11,6.58E+11,5.96E+11,5.35E+11,4.73E+11,4.11E+11,3.50E+11
wood products 16,7.06E+12,6.38E+12,6.37E+12,6.36E+12,6.14E+12,6.14E+12,5.90E+12,5.66E+12,5.43E+12,5.19E+12,4.95E+12,4.70E+12,4.45E+12,4.20E+12,3.96E+12,3.71E+12,3.46E+12,3.21E+12,2.96E+12,2.71E+12,2.46E+12,2.30E+12,2.14E+12,1.98E+12,1.82E+12,1.66E+12,1.50E+12,1.34E+12,1.18E+12,1.02E+12,8.56E+11
pulp paper and printing 17T18,5.97E+12,5.90E+12,5.76E+12,5.64E+12,5.51E+12,5.40E+12,5.17E+12,4.93E+12,4.69E+12,4.45E+12,4.22E+12,3.93E+12,3.65E+12,3.37E+12,3.09E+12,2.81E+12,2.53E+12,2.25E+12,1.97E+12,1.69E+12,1.41E+12,1.31E+12,1.21E+12,1.10E+12,9.98E+11,8.95E+11,7.91E+11,6.88E+11,5.84E+11,4.80E+11,3.77E+11
refined petroleum and coke 19,2.42E+15,2.32E+15,2.36E+15,2.38E+15,2.41E+15,2.56E+15,2.50E+15,2.44E+15,2.38E+15,2.32E+15,2.26E+15,2.19E+15,2.11E+15,2.04E+15,1.96E+15,1.89E+15,1.81E+15,1.74E+15,1.66E+15,1.59E+15,1.51E+15,1.43E+15,1.36E+15,1.28E+15,1.20E+15,1.12E+15,1.04E+15,9.62E+14,8.83E+14,8.05E+14,7.26E+14
chemicals 20,1.98E+15,1.98E+15,1.97E+15,1.94E+15,1.92E+15,1.92E+15,1.84E+15,1.76E+15,1.69E+15,1.61E+15,1.53E+15,1.46E+15,1.38E+15,1.30E+15,1.23E+15,1.15E+15,1.08E+15,9.99E+14,9.23E+14,8.47E+14,7.71E+14,7.23E+14,6.75E+14,6.28E+14,5.80E+14,5.33E+14,4.85E+14,4.37E+14,3.90E+14,3.42E+14,2.95E+14
