Fuel Economy (freight ton*miles/BTU),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,8.62E-05,4.11E-05,4.47E-05,5.94E-05,1.06E-04,3.44E-05,6.59E-05
HDVs,9.29E-04,3.83E-04,4.38E-04,3.93E-04,0.00E+00,0.00E+00,7.60E-04
aircraft,0.00E+00,0.00E+00,0.00E+00,1.65E-04,0.00E+00,0.00E+00,0.00E+00
rail,4.97E-03,0.00E+00,0.00E+00,3.22E-03,0.00E+00,0.00E+00,0.00E+00
ships,0.00E+00,0.00E+00,0.00E+00,4.96E-03,0.00E+00,0.00E+00,0.00E+00
motorbikes,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
